Sp.;Size;Number;Type;Morfology;Sp._wet;Size_wet;Sp._Size;H. state_wet;Sp._Size_H.state_wet;_wet;Label_wet;Area_wet;StdDev_wet;X_wet;Y_wet;XM_wet;YM_wet;Perim._wet;BX_wet;BY_wet;Width_wet;Height_wet;Major_wet;Minor_wet;Angle_wet;Circ._wet;AR_wet;Round_wet;Solidity_wet;Feret_wet;FeretAngle_wet;MinFeret_wet;FeretX_wet;FeretY_wet;IntDen_wet;RawIntDen_wet;Median_wet;Skew_wet;Kurt_wet;%Area_wet;Slice_wet;;Sp._dry;Size_dry;Sp._Size_dry;H. state_dry;Sp._Size_H.state_dry;_dry;Label_dry;Area_dry;StdDev_dry;X_dry;Y_dry;XM_dry;YM_dry;Perim._dry;BX_dry;BY_dry;Width_dry;Height_dry;Major_dry;Minor_dry;Angle_dry;Circ._dry;AR_dry;Round_dry;Solidity_dry;Feret_dry;FeretAngle_dry;MinFeret_dry;FeretX_dry;FeretY_dry;IntDen_dry;RawIntDen_dry;Median_dry;Skew_dry;Kurt_dry;%Area_dry;Slice_dry;Index of viability;Number shoots;Index1;Index2;Index of contamination;Interaccion
D. scoparium;Large;11;S;F. Apical;D. scoparium;Large;D. scoparium Large;Wet;D. scoparium-Large-Wet;11;DIGH (11).jpg;6,16E-02;2,90E+01;3,61E-01;3,30E-01;3,37E-01;3,42E-01;1,68E+00;1,86E-01;1,53E-01;3,89E-01;3,89E-01;3,77E-01;2,08E-01;4,88E+01;2,75E-01;1,81E+00;5,52E-01;6,84E-01;4,69E-01;3,47E+01;2,71E-01;1,76E+02;4,13E+02;3,85E+00;3,43E+06;5,60E+01;1,36E+00;3,04E+00;0,00E+00;1,00E+00;;D. scoparium;Large;D. scoparium-Large;Dry;D. scoparium-Large-Dry;11;DIGS (11).jpg;4,12E-02;3,39E+01;2,60E-01;2,69E-01;2,62E-01;2,55E-01;1,73E+00;1,01E-01;6,50E-02;3,34E-01;3,63E-01;3,49E-01;1,50E-01;1,35E+02;1,74E-01;2,32E+00;4,31E-01;6,76E-01;4,39E-01;1,36E+02;2,05E-01;1,08E+02;1,17E+02;3,40E+00;3,09E+06;7,60E+01;5,17E-01;-3,31E-01;0,00E+00;1,00E+00;6;11;8;9,5;2;DI-Large
D. scoparium;Large;12;S;F. Intermedio;D. scoparium;Large;D. scoparium Large;Wet;D. scoparium-Large-Wet;12;DIGH (12).jpg;5,71E-02;3,27E+01;3,88E-01;3,06E-01;3,92E-01;3,22E-01;1,76E+00;1,01E-01;2,00E-01;4,75E-01;2,89E-01;3,79E-01;1,92E-01;1,61E+02;2,31E-01;1,98E+00;5,06E-01;6,71E-01;4,76E-01;3,71E+00;2,72E-01;9,50E+01;2,71E+02;3,86E+00;3,42E+06;6,00E+01;2,44E+00;8,27E+00;0,00E+00;1,00E+00;;D. scoparium;Large;D. scoparium-Large;Dry;D. scoparium-Large-Dry;12;DIGS (12).jpg;3,69E-02;3,75E+01;2,50E-01;2,61E-01;2,40E-01;2,61E-01;1,80E+00;8,79E-02;1,41E-01;3,78E-01;2,76E-01;3,17E-01;1,48E-01;3,09E+01;1,44E-01;2,14E+00;4,68E-01;5,22E-01;4,05E-01;3,15E+01;2,71E-01;1,15E+02;3,57E+02;4,61E+00;4,22E+06;1,28E+02;-3,17E-01;-2,23E-01;0,00E+00;1,00E+00;4;5;5,75;7,25;3;DI-Large
D. scoparium;Large;13;S;햜ice;D. scoparium;Large;D. scoparium Large;Wet;D. scoparium-Large-Wet;13;DIGH (13).jpg;6,67E-02;3,71E+01;3,87E-01;2,97E-01;3,86E-01;3,02E-01;2,41E+00;8,79E-02;1,31E-01;5,30E-01;2,77E-01;4,30E-01;1,98E-01;6,46E+00;1,44E-01;2,18E+00;4,60E-01;5,88E-01;5,40E-01;1,18E+01;2,65E-01;8,30E+01;2,69E+02;7,75E+00;6,91E+06;1,09E+02;1,35E+00;2,19E+00;0,00E+00;1,00E+00;;D. scoparium;Large;D. scoparium-Large;Dry;D. scoparium-Large-Dry;13;DIGS (13).jpg;4,42E-02;3,80E+01;3,80E-01;3,00E-01;3,81E-01;2,97E-01;2,42E+00;8,60E-02;1,24E-01;4,55E-01;2,94E-01;3,54E-01;1,59E-01;2,77E+01;9,52E-02;2,23E+00;4,49E-01;5,86E-01;4,81E-01;2,82E+01;2,10E-01;8,00E+01;3,47E+02;4,26E+00;3,68E+06;9,60E+01;-1,31E-01;-1,58E-01;0,00E+00;1,00E+00;6;4;10,25;11,75;1;DI-Large
D. scoparium;Large;14;L;F. Apical;D. scoparium;Large;D. scoparium Large;Wet;D. scoparium-Large-Wet;14;DIGH (14).jpg;6,20E-03;2,53E+01;1,51E-01;1,92E-01;1,45E-01;1,90E-01;4,02E-01;8,36E-02;1,52E-01;1,56E-01;7,04E-02;1,37E-01;5,76E-02;1,62E+02;4,83E-01;2,38E+00;4,20E-01;9,38E-01;1,68E-01;1,58E+02;6,70E-02;8,20E+01;1,54E+02;5,20E-01;5,00E+05;7,70E+01;3,76E+00;2,06E+01;0,00E+00;1,00E+00;;D. scoparium;Large;D. scoparium-Large;Dry;D. scoparium-Large-Dry;14;DIGS (14).jpg;3,24E-03;3,54E+01;1,42E-01;9,98E-02;1,43E-01;1,01E-01;3,33E-01;8,58E-02;7,52E-02;1,42E-01;4,55E-02;1,32E-01;3,14E-02;6,09E+00;3,68E-01;4,19E+00;2,39E-01;8,03E-01;1,43E-01;6,39E+00;3,65E-02;8,10E+01;9,10E+01;4,84E-01;4,32E+05;1,52E+02;-8,44E-02;-3,88E-01;0,00E+00;1,00E+00;5;0;4,75;4,75;1;DI-Large
D. scoparium;Large;15;S;F. Intermedio;D. scoparium;Large;D. scoparium Large;Wet;D. scoparium-Large-Wet;15;DIGH (15).jpg;5,51E-02;2,83E+01;3,07E-01;2,93E-01;3,10E-01;2,88E-01;1,38E+00;1,09E-01;1,19E-01;3,90E-01;2,86E-01;3,57E-01;1,97E-01;1,23E+01;3,64E-01;1,82E+00;5,50E-01;7,35E-01;3,90E-01;3,15E+00;2,44E-01;1,07E+02;3,03E+02;3,10E+00;2,98E+06;4,90E+01;2,40E+00;9,36E+00;0,00E+00;1,00E+00;;D. scoparium;Large;D. scoparium-Large;Dry;D. scoparium-Large-Dry;15;DIGS (15).jpg;4,26E-02;4,23E+01;2,45E-01;2,22E-01;2,53E-01;2,14E-01;1,32E+00;8,36E-02;8,36E-02;3,46E-01;2,80E-01;3,19E-01;1,70E-01;1,46E+02;3,07E-01;1,87E+00;5,34E-01;6,81E-01;3,64E-01;1,39E+02;2,21E-01;9,40E+01;1,07E+02;4,55E+00;4,37E+06;1,07E+02;8,04E-02;-1,38E-01;0,00E+00;1,00E+00;4;6;5,75;7,25;3;DI-Large
D. scoparium;Large;16;S;F. Apical;D. scoparium;Large;D. scoparium Large;Wet;D. scoparium-Large-Wet;16;DIGH (16).jpg;8,56E-02;3,49E+01;4,52E-01;2,55E-01;4,29E-01;2,53E-01;2,62E+00;5,27E-02;1,28E-01;7,99E-01;2,85E-01;6,39E-01;1,71E-01;1,74E+02;1,57E-01;3,75E+00;2,67E-01;6,24E-01;8,09E-01;1,71E+02;2,61E-01;5,10E+01;1,31E+02;6,80E+00;6,37E+06;7,40E+01;2,03E+00;6,42E+00;0,00E+00;1,00E+00;;D. scoparium;Large;D. scoparium-Large;Dry;D. scoparium-Large-Dry;16;DIGS (16).jpg;5,54E-02;3,54E+01;3,87E-01;2,13E-01;3,68E-01;2,11E-01;3,01E+00;1,38E-02;7,54E-02;7,31E-01;2,63E-01;6,06E-01;1,16E-01;1,70E+02;7,69E-02;5,21E+00;1,92E-01;5,63E-01;7,48E-01;1,68E+02;1,75E-01;1,30E+01;1,66E+02;4,89E+00;4,34E+06;8,20E+01;8,87E-01;9,94E-01;0,00E+00;1,00E+00;5;1R;8,25;9,75;3;DI-Large
D. scoparium;Large;17;S;F. Intermedio;D. scoparium;Large;D. scoparium Large;Wet;D. scoparium-Large-Wet;17;DIGH (17).jpg;7,32E-02;2,70E+01;3,34E-01;2,47E-01;3,19E-01;2,37E-01;1,45E+00;1,01E-01;1,31E-01;4,97E-01;2,25E-01;4,78E-01;1,95E-01;1,75E+02;4,36E-01;2,45E+00;4,09E-01;8,05E-01;5,05E-01;1,69E+02;2,19E-01;9,80E+01;1,76E+02;3,22E+00;3,03E+06;3,90E+01;2,38E+00;9,96E+00;0,00E+00;1,00E+00;;D. scoparium;Large;D. scoparium-Large;Dry;D. scoparium-Large-Dry;17;DIGS (17).jpg;6,08E-02;3,18E+01;3,54E-01;2,72E-01;3,48E-01;2,68E-01;1,80E+00;9,93E-02;1,18E-01;5,07E-01;2,61E-01;4,67E-01;1,66E-01;1,08E+01;2,36E-01;2,82E+00;3,54E-01;6,97E-01;5,22E-01;1,36E+01;2,05E-01;9,50E+01;3,38E+02;5,25E+00;4,80E+06;9,00E+01;-2,24E-01;-2,78E-01;0,00E+00;1,00E+00;2;4;3,75;5,25;3;DI-Large
D. scoparium;Large;18;S;햜ice;D. scoparium;Large;D. scoparium Large;Wet;D. scoparium-Large-Wet;18;DIGH (18).jpg;4,52E-02;4,31E+01;2,70E-01;2,67E-01;2,47E-01;2,58E-01;2,43E+00;6,79E-02;1,24E-01;4,09E-01;2,82E-01;3,02E-01;1,91E-01;1,71E+02;9,59E-02;1,59E+00;6,31E-01;5,18E-01;4,68E-01;1,50E+02;2,79E-01;6,60E+01;1,21E+02;3,73E+00;3,41E+06;7,50E+01;1,01E+00;1,59E+00;0,00E+00;1,00E+00;;D. scoparium;Large;D. scoparium-Large;Dry;D. scoparium-Large-Dry;18;DIGS (18).jpg;3,51E-02;4,31E+01;3,44E-01;2,42E-01;3,08E-01;2,50E-01;2,12E+00;9,61E-02;6,44E-02;4,60E-01;2,96E-01;3,17E-01;1,41E-01;1,79E+02;9,78E-02;2,25E+00;4,45E-01;4,26E-01;4,77E-01;1,54E+01;2,89E-01;8,80E+01;3,30E+02;2,69E+00;2,25E+06;6,60E+01;1,04E+00;5,72E-01;0,00E+00;1,00E+00;6;3;10;11,5;2;DI-Large
D. scoparium;Large;19;S;햜ice;D. scoparium;Large;D. scoparium Large;Wet;D. scoparium-Large-Wet;19;DIGH (19).jpg;3,63E-02;2,79E+01;3,31E-01;3,44E-01;3,26E-01;3,44E-01;1,35E+00;1,09E-01;1,61E-01;4,01E-01;3,03E-01;2,70E-01;1,71E-01;2,13E+01;2,50E-01;1,58E+00;6,34E-01;5,81E-01;4,02E-01;4,72E+00;2,36E-01;1,05E+02;3,92E+02;2,41E+00;2,26E+06;6,20E+01;1,02E+00;1,30E+00;0,00E+00;1,00E+00;;D. scoparium;Large;D. scoparium-Large;Dry;D. scoparium-Large-Dry;19;DIGS (19).jpg;2,46E-02;3,04E+01;1,97E-01;1,70E-01;1,96E-01;1,65E-01;1,12E+00;4,30E-02;7,02E-02;3,25E-01;2,19E-01;2,35E-01;1,34E-01;2,67E+01;2,48E-01;1,75E+00;5,70E-01;6,14E-01;3,48E-01;2,10E+01;1,94E-01;4,10E+01;2,71E+02;1,79E+00;1,63E+06;7,10E+01;5,58E-01;2,10E-01;0,00E+00;1,00E+00;6;4;10;10;2;DI-Large
D. scoparium;Large;20;S;햜ice;D. scoparium;Large;D. scoparium Large;Wet;D. scoparium-Large-Wet;20;DIGH (20).jpg;6,61E-02;3,38E+01;3,28E-01;3,45E-01;3,35E-01;3,40E-01;3,38E+00;4,23E-02;1,81E-01;6,21E-01;2,96E-01;5,29E-01;1,59E-01;1,90E+01;7,26E-02;3,33E+00;3,01E-01;6,25E-01;6,59E-01;1,95E+01;2,38E-01;4,00E+01;3,95E+02;6,42E+00;5,73E+06;9,10E+01;1,97E+00;5,83E+00;0,00E+00;1,00E+00;;D. scoparium;Large;D. scoparium-Large;Dry;D. scoparium-Large-Dry;20;DIGS (20).jpg;4,12E-02;3,57E+01;2,96E-01;2,17E-01;2,97E-01;2,16E-01;2,48E+00;5,61E-02;1,11E-01;5,94E-01;1,87E-01;5,10E-01;1,03E-01;1,66E+02;8,42E-02;4,96E+00;2,02E-01;6,71E-01;6,06E-01;1,69E+02;1,54E-01;5,50E+01;1,39E+02;4,44E+00;4,27E+06;1,06E+02;3,71E-01;-1,08E-01;0,00E+00;1,00E+00;6;6;10,25;11,75;1;DI-Large
D. scoparium;Large;21;S;햜ice;D. scoparium;Large;D. scoparium Large;Wet;D. scoparium-Large-Wet;21;DIGH (21).jpg;3,03E-02;3,25E+01;2,59E-01;3,01E-01;2,51E-01;2,95E-01;1,89E+00;7,74E-02;1,43E-01;3,19E-01;2,86E-01;2,13E-01;1,81E-01;1,20E+02;1,07E-01;1,18E+00;8,49E-01;4,81E-01;3,36E-01;1,49E+02;2,86E-01;7,30E+01;2,25E+02;2,84E+00;2,46E+06;9,00E+01;8,20E-01;9,72E-01;0,00E+00;1,00E+00;;D. scoparium;Large;D. scoparium-Large;Dry;D. scoparium-Large-Dry;21;DIGS (21).jpg;2,57E-02;3,81E+01;2,45E-01;2,30E-01;2,42E-01;2,42E-01;1,82E+00;9,66E-02;6,58E-02;2,80E-01;3,51E-01;1,92E-01;1,71E-01;5,24E+01;9,74E-02;1,12E+00;8,92E-01;4,38E-01;3,57E-01;7,97E+01;2,75E-01;9,60E+01;3,93E+02;2,28E+00;2,03E+06;8,00E+01;7,27E-01;-2,20E-01;0,00E+00;1,00E+00;6;4;10,25;10,25;1;DI-Large
D. scoparium;Large;22;S;F. Intermedio;D. scoparium;Large;D. scoparium Large;Wet;D. scoparium-Large-Wet;22;DIGH (22).jpg;4,06E-02;3,37E+01;2,76E-01;2,64E-01;2,81E-01;2,66E-01;1,47E+00;1,00E-01;1,37E-01;3,88E-01;2,13E-01;3,33E-01;1,55E-01;4,11E-01;2,38E-01;2,14E+00;4,67E-01;6,87E-01;4,00E-01;1,66E+02;2,09E-01;9,70E+01;1,80E+02;2,74E+00;2,57E+06;5,90E+01;2,84E+00;1,18E+01;0,00E+00;1,00E+00;;D. scoparium;Large;D. scoparium-Large;Dry;D. scoparium-Large-Dry;22;DIGS (22).jpg;2,15E-02;3,78E+01;2,90E-01;2,22E-01;2,91E-01;2,21E-01;1,61E+00;9,28E-02;1,09E-01;4,01E-01;2,02E-01;2,73E-01;1,00E-01;4,56E+00;1,04E-01;2,72E+00;3,67E-01;4,34E-01;4,07E-01;1,00E+01;1,82E-01;8,50E+01;2,11E+02;2,29E+00;1,92E+06;1,05E+02;1,07E-01;-5,70E-01;0,00E+00;1,00E+00;6;5;8,25;8,25;1;DI-Large
